"authorId","badges/0","badges/1","badges/2","externalSource","itemType","negativeFeedback","positiveFeedback","productId","productName","productUrl","rating","recommended","reviewId","submissionTime","text","title","userNickname"
"67799878eacdbb2433c3641e5284835e42a44814f796e783144d5d4ab115a8ff3c814168a9cc4af4e28bc79224cddc6b","VerifiedPurchaser",,,"bazaarvoice","Review","0","2","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5",,"346070395","2024-06-01","Good headphones! Lighter than the previous generation and not and as bulky! Definitely improved👍🏻 Sound as well.
One thing- to use all Sony headphones you need to download their Sony app. Only after this it will allow you to connect through the bluetooth","Better generation of headphones","Kate"
"q2wu53s3cy7138ormo9sjvx5a","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5","true","170330611","2024-12-05","I am not sure why I waited so long for these … they are just amazing.

Only one drawback I may say that the headphones shutdown themselves if auto shut down mode is on whilst wearing anything on the head. I wear a turban so it cuts off … i just turned the auto shut down off","Love the XM5s","Harsimran"
"dkw0jwoyr154jia6vse2pmzyd","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5","true","170531486","2024-12-12","I bought these about a month ago, but we already had two of these in the family and I know a lot of people with the XM5's that are super happy with the sound quality, noise cancelling and the durability of these headphones. I love these headphones, they have great swipe controls and are awesome for daily use as well as travel. The only gripe is the bulky carry case and the fact they don't collapse down further. Everything else about them is awesome - highly recommended.","Awesome Sounds!","Bazzman"
"px3z5g96ou1u1zjvr3z26q939","InternationalReview",,,"bazaarvoice","Review","0","1","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5","true","167015843","2024-07-17","Bought the XM5's a few weeks ago in preparation for another cross country work flight. Instead of taking my venerable Sony MD 7506's or Galaxy Buds Plus, the new XM5's are amazing. Jet engine noise? What noise. Shocked is an understatement. Anyway one of the flights was delayed from landing due to military training and the XM5's stayed on for 7 hours straight without discomfort. Industrial design is top class, clamp pressure is good, ear cups fit perfectly and are soft, headband feels light and the construction is very nice. Not sure how they breath but ears wern't sweaty after 7 hours. The app is 'ok' and I've turned off all the location features. Headphones work a treat.","Flight Changing","BH_AU"
"txdrdirz5q1pdzge5c7gh6sa1","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5","true","170371763","2024-12-07","It's just over a week since I got these headphones. I used to be exclusively a Bose noise canceling headphone user, however made the switch after reading online reviews.
I have to say, I'm loving them. They are so comfortable to wear and the sound reproduction is awesome.
I have loved going back over some favourite tracks and hearing them afresh.
Very impressed.","A Sony convert","Nesby"
"6owgtiarnc9u96xz1nh2hxwqk","VerifiedPurchaser","InternationalReview","VerifiedPurchaser","bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5",,"362734499","2024-11-07","HEADPHONE!! This is the greatest headphones ever!!!!! I have theAirPods Max but these definitely take the cake for the best high end wireless headphones let's see what chat gpthingsh dsays

The Sony WH-1000XM5 headphones bring notable improvements to Sony's already beloved noise-canceling headphone lineup. Known for consistently topping the market in sound quality, noise cancellation, and comfort, Sony's XM5s continue this legacy, although with some changes that users might have mixed feelings about.

Design and Comfort

The XM5s have a redesigned look, ditching the foldable hinges seen in previous models like the XM4s. Instead, they sport a slimmer, more minimalistic aesthetic with slightly larger ear cups and a thinner, more flexible headband. This change makes them lighter and even more comfortable, suitable for extended wear, but it also means they don't fold as compactly, making portability a little trickier. Sony does provide a hardshell case to protect them in transit, but some fans of the foldable design may miss the previous compactness.

Sound Quality

The XM5s offer a richer and more immersive sound experience than their predecessors. Sony has worked on fine-tuning the drivers, and the headphones now deliver slightly better clarity across the sound spectrum. Highs and mids are well-defined, while the bass remains punchy without being overwhelming. Sony's DSEE Extreme and LDAC support provide great audio fidelity, especially if you're streaming high-resolution audio from a compatible device.

Noise Cancellation

Sony's noise-canceling tech has always been industry-leading, and the XM5s improve on this even further. They use two processors and eight microphones to block out ambient sounds more effectively, especially in the mid- to high-frequency range. This makes them ideal for work in noisy environments or traveling, as they cancel out everything from office chatter to the rumble of trains. The XM5s also have an adaptive noise control feature that adjusts based on your activity and location, which can be useful for mixed environments but may feel unnecessary for some users.

Battery Life

Battery life remains strong with up to 30 hours on a full charge, matching the XM4s, even with the enhanced noise cancellation running. Plus, they support fast charging; just a 3-minute charge gives you around 3 hours of playback, which is a huge bonus for those on the go.

Features and Usability

The XM5s include intuitive touch controls for volume, play/pause, and skipping tracks, and these work seamlessly. Sony also upgraded the call quality; multiple microphones and AI-based noise reduction help make calls clearer and reduce background noise, even in busy environments. Multipoint connectivity lets you connect to two devices simultaneously, which is especially useful for those who frequently switch between a computer and phone.

Downsides

The XM5s come with a few trade-offs, though. The inability to fold them down as compactly as the XM4s might be a dealbreaker for some users. Additionally, they come at a higher price point than their predecessors, and while the improvements are substantial, some may feel the premium isn't entirely justified if they already own the XM4s.

Verdict

The Sony WH-1000XM5 headphones are among the best noise-canceling headphones available, offering superb sound quality, outstanding noise cancellation, and comfortable design. They're an excellent choice if you prioritize audio quality and noise cancellation over portability. However, if you already own the XM4s, the incremental improvements may not justify an upgrade unless the new design and slightly enhanced features are a big draw. Overall, the XM5s uphold Sony's reputation for high-quality audio gear and deliver a top-notch listening experience. THANKS CHAT GPTHISN","Sony!! Headphones!!!!!!","Billy biggles"
"a0m8pdr95dvqb2d5ljenxv49u","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5","true","170613930","2024-12-16","This could be the best ever headphones I ever tried or purchased. Love the feel and the comfort, I can wear it all day and won't even noticed it's there. Sound is amazing, phone calls are excellent. The noise cancelling is superb, it just takes you to your own private world when it's turned on.","Best Ever Headp","Allan P"
"d4ce81fc2a2b4576408aea67a1d037f21e40a2e8c81e61322d0e1d4f0bcc605a0fed8cf29ddf5e7f35318ecc23772d05","VerifiedPurchaser",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5",,"372387070","2025-01-16","Very good nose cancelling. However Bluetooth reception has momentarily cut out while connected to my computer. The xm5 is very comfortable around and on the ears but i do notice the head band when it slides farther forward on my head. Overall, these are the best over the ear headphones I have owned.",,"Christopher"
"ehpp6kb6owpja7q7s8bocjddt","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","4","true","170983028","2024-12-31","Purchased these to use for both music and as a headset for work calls and it's works great. Being connected to both my phone for music and laptop for teams calls, it will automatically switch sources when I get an incoming call, and switch back to music when the call is done. It's great! Had a few hiccups with the Bluetooth connection sometimes, but works flawlessly 95% of the time","Great headphone","matttyb"
"7dqn0i601b5o575yz8f87n0wd","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","4","true","169296683","2024-10-20","I have used these for around a year now. General use, commute on the train listening to streaming service and in busy noisy office. And travelling OS on long international flight - plugged into airline audio/video service. Sound quality is excellent. Three criticisms: 1. Physical band is uncomfortable against top of head - this is tolerable but is ever present. 2. Self talk fold back when using for phone conversations via Bluetooth connection could be better. I am never sure whether I am taking loudly to overcome dampening - as clarity of self talk through internal speakers seems dull. 3. I wear glasses and seal over ears could be better when wearing; there is clearly some external penetration, and sound quality is a little compromised.
But overall the earphones are great. Recommended particularly for casual listening to streaming services via one's phone.","Overall great!","elgrego"
